紅毛	紅毛 👨‍🦰 👩‍🦰 🦰
虯毛	虯毛 👨‍🦱 👩‍🦱 🦱
白頭毛	白頭毛 👨‍🦳 👩‍🦳 🦳
光頭	光頭 👨‍🦲 👩‍🦲 🦲
和尚	和尚 👨‍🦲
查某人	查某人 👩
阿母	阿母 👩
老母	老母 👩
紅毛查某	紅毛查某 👩‍🦰
鬈毛查某	鬈毛查某 👩‍🦱
白毛查某	白毛查某 👩‍🦳
光頭查某	光頭查某 👩‍🦲
尼姑	尼姑 👩‍🦲
金毛查埔	金毛查埔 👱‍♂️
老大人	老大人 👴 👵
阿公	阿公 👴
阿媽	阿媽 👵
皺眉頭	皺眉頭 🙍‍♂️ 🙍‍♀️
毋好	毋好 🙅‍♂️ 🙅‍♀️
袂使	袂使 🙅‍♂️ 🙅‍♀️
反對	反對 🙅‍♂️ 🙅‍♀️
拒絕	拒絕 🙅‍♂️ 🙅‍♀️
可以	可以 🙆‍♂️ 🙆‍♀️ 🉑
會使	會使 🙆‍♂️ 🙆‍♀️
服務生	服務生 💁‍♂️ 💁‍♀️
攑手	攑手 🙋‍♂️ 🙋‍♀️
我知	我知 🙋‍♂️ 🙋‍♀️
我知影	我知影 🙋‍♂️ 🙋‍♀️
這我知	這我知 🙋‍♂️ 🙋‍♀️
耳聾	耳聾 🧏‍♂️ 🧏‍♀️
歹勢	歹勢 🙇‍♂️ 🙇‍♀️
失禮	失禮 🙇‍♂️ 🙇‍♀️
道歉	道歉 🙇‍♂️ 🙇‍♀️
鞠躬	鞠躬 🙇‍♂️ 🙇‍♀️
掩面	掩面 🤦‍♂️ 🤦‍♀️
傷譀	傷譀 🤦‍♂️ 🤦‍♀️
隨在你	隨在你 🤷‍♂️ 🤷‍♀️
毋知	毋知 🤷‍♂️ 🤷‍♀️
啥人知	啥人知 🤷‍♂️ 🤷‍♀️
醫生	醫生 👨‍⚕️ 👩‍⚕️
查埔醫生	查埔醫生 👨‍⚕️
查某醫生	查某醫生 👩‍⚕️
學生	學生 👨‍🎓 👩‍🎓
畢業	畢業 👨‍🎓 👩‍🎓
老師	老師 👨‍🏫 👩‍🏫
查埔老師	查埔老師 👨‍🏫
查某老師	查某老師 👩‍🏫
法官	法官 👨‍⚖️ 👩‍⚖️
作田人	作田人 👨‍🌾 👩‍🌾
作穡人	作穡人 👨‍🌾 👩‍🌾
總舖師	總舖師 👨‍🍳 👩‍🍳
料理	料理 👨‍🍳 👩‍🍳
師傅	師傅 👨‍🔧 👩‍🔧
工廠工人	工廠工人 👨‍🏭 👩‍🏭
上班族	上班族 👨‍💼 👩‍💼
科學家	科學家 👨‍🔬 👩‍🔬
工程師	工程師 👨‍💻 👩‍💻
歌手	歌手 👨‍🎤 👩‍🎤
藝術家	藝術家 👨‍🎨 👩‍🎨
畫家	畫家 👨‍🎨 👩‍🎨
飛行員	飛行員 👨‍✈️ 👩‍✈️
太空人	太空人 👨‍🚀 👩‍🚀
消防員	消防員 👨‍🚒 👩‍🚒
警察	警察 👮‍♂️ 👮‍♀️
大人	大人 👮‍♂️ 👮‍♀️
偵探	偵探 🕵️‍♂️ 🕵️‍♀️
衛兵	衛兵 💂‍♂️ 💂‍♀️
忍者	忍者 🥷
工人	工人 👷‍♂️ 👷‍♀️
做工仔人	做工仔人 👷‍♂️ 👷‍♀️
君主	君主 🫅
國王	國王 🫅
皇帝	皇帝 🫅
king	king 🫅
王子	王子 🤴
公主	公主 👸
女王	女王 👸
皇后	皇后 👸
頭巾	頭巾 👳‍♂️ 👳‍♀️ 🧕
新郎	新郎 🤵‍♂️
西裝	西裝 🤵‍♂️
新娘	新娘 👰‍♀️
大腹肚	大腹肚 🤰
有身	有身 🤰
懷孕	懷孕 🤰
查埔有身	查埔有身 🫃
飼奶	飼奶 🤱 👩‍🍼
天使囡仔	天使囡仔 👼
小天使	小天使 👼
聖誕老公公	聖誕老公公 🎅
聖誕老婆婆	聖誕老婆婆 🤶
超人	超人 🦸‍♂️ 🦸‍♀️
超級英雄	超級英雄 🦸‍♂️ 🦸‍♀️
歹人	歹人 🦹‍♂️ 🦹‍♀️
魔法師	魔法師 🧙‍♂️ 🧙‍♀️
男巫	男巫 🧙‍♂️
女巫	女巫 🧙‍♀️
妖精	妖精 🧚‍♂️ 🧚‍♀️
小仙子	小仙子 🧚‍♂️ 🧚‍♀️
小仙女	小仙女 🧚‍♀️
吸血鬼	吸血鬼 🧛‍♂️ 🧛‍♀️
人魚	人魚 🧜‍♂️ 🧜‍♀️
海王	海王 🧜‍♂️
美人魚	美人魚 🧜‍♀️
精靈	精靈 🧝‍♂️ 🧝‍♀️
燈神	燈神 🧞‍♂️ 🧞‍♀️
殭屍	殭屍 🧟‍♂️ 🧟‍♀️
喪屍	喪屍 🧟‍♂️ 🧟‍♀️
按摩	按摩 💆‍♂️ 💆‍♀️
剪頭毛	剪頭毛 💇‍♂️ 💇‍♀️
行路	行路 🚶‍♂️ 🚶‍♀️
徛	徛 🧍‍♂️ 🧍‍♀️
跪	跪 🧎‍♂️ 🧎‍♀️
坐輪椅	坐輪椅 👨‍🦼 👩‍🦼 👨‍🦽 👩‍🦽
電動輪椅	電動輪椅 👨‍🦼 👩‍🦼 🦼
手動輪椅	手動輪椅 👨‍🦽 👩‍🦽 🦽
走標	走標 🏃‍♂️ 🏃‍♀️
跳舞	跳舞 💃 🕺
兔女郎	兔女郎 👯‍♀️
桑拿	桑拿 🧖‍♂️ 🧖‍♀️
三溫暖	三溫暖 🧖‍♂️ 🧖‍♀️
𬦰山	𬦰山 🧗‍♂️ 🧗‍♀️
擊劍	擊劍 🤺
賽馬	賽馬 🏇
騎馬	騎馬 🏇
滑雪	滑雪 ⛷️
滑雪板	滑雪板 🏂
高爾夫	高爾夫 🏌️‍♂️ 🏌️‍♀️ ⛳
衝浪	衝浪 🏄‍♂️ 🏄‍♀️
划船	划船 🚣‍♂️ 🚣‍♀️
泅水	泅水 🏊‍♂️ 🏊‍♀️
拍籃球	拍籃球 ⛹️‍♂️ ⛹️‍♀️
舉重	舉重 🏋️‍♂️ 🏋️‍♀️
騎鐵馬	騎鐵馬 🚴‍♂️ 🚴‍♀️
捙畚斗	捙畚斗 🤸‍♂️ 🤸‍♀️
拋輾斗	拋輾斗 🤸‍♂️ 🤸‍♀️
相撲	相撲 🤼‍♂️ 🤼‍♀️
水球	水球 🤽‍♂️ 🤽‍♀️
手球	手球 🤾‍♂️ 🤾‍♀️
雜耍	雜耍 🤹‍♂️ 🤹‍♀️
瑜伽	瑜伽 🧘‍♂️ 🧘‍♀️
打坐	打坐 🧘‍♂️ 🧘‍♀️
洗身軀	洗身軀 🛀
泡澡	泡澡 🛀
相牽手	相牽手 🧑‍🤝‍🧑
手牽手	手牽手 🧑‍🤝‍🧑
姊妹仔	姊妹仔 👭
好姊妹	好姊妹 👭
情侶	情侶 👫
兄弟	兄弟 👬
好兄弟	好兄弟 👬
同志	同志 👨‍❤️‍👨 👩‍❤️‍👩
男同志	男同志 👨‍❤️‍👨
女同志	女同志 👩‍❤️‍👩
lesbian	lesbian 👩‍❤️‍👩
一家伙仔	一家伙仔 👨‍👩‍👦 👨‍👩‍👦‍👦
一家三口	一家三口 👨‍👩‍👦 👨‍👩‍👧
一家四口	一家四口 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧
父子	父子 👨‍👦
父女	父女 👨‍👧
母子	母子 👩‍👦
母女	母女 👩‍👧
人影	人影 🗣 👤 👥 🫂
講話	講話 🗣
一個人影	一個人影 👤
兩個人影	兩個人影 👥
相抱	相抱 🫂
跤印	跤印 👣
膚色	膚色 🏻 🏼 🏽 🏾 🏿
淺膚色	淺膚色 🏻
中淺膚色	中淺膚色 🏼
中膚色	中膚色 🏽
中深膚色	中深膚色 🏾
深膚色	深膚色 🏿
猴	猴 🐵 🐒
猴面	猴面 🐵
猴仔	猴仔 🐒
猩猩	猩猩 🦍 🦧
狗	狗 🐶 🐕
狗仔	狗仔 🐶 🐕
犬	犬 🐕
導盲犬	導盲犬 🦮
服務犬	服務犬 🐕‍🦺
貴賓狗	貴賓狗 🐩
狼	狼 🐺
狐狸	狐狸 🦊
浣熊	浣熊 🦝
貓	貓 🐱
貓咪	貓咪 🐱 🐈
貓仔	貓仔 🐱 🐈
烏貓	烏貓 🐈‍⬛
獅	獅 🦁
獅仔	獅仔 🦁
虎	虎 🐯
老虎	老虎 🐯 🐅
豹	豹 🐆
豹仔	豹仔 🐆
馬	馬 🐴 🐎
馬仔	馬仔 🐴 🐎
駝鹿	駝鹿 🫎
驢	驢 🫏
驢仔	驢仔 🫏
獨角獸	獨角獸 🦄
斑馬	斑馬 🦓
鹿	鹿 🦌
鹿仔	鹿仔 🦌
野牛	野牛 🦬
牛	牛 🐮
牛犅	牛犅 🐂
水牛	水牛 🐃
奶牛	奶牛 🐄
豬	豬 🐷 🐖
豬仔	豬仔 🐷 🐖
山豬	山豬 🐗
豬鼻	豬鼻 🐽
羊	羊 🐏 🐑
羊仔	羊仔 🐏 🐑
山羊	山羊 🐐
駱駝	駱駝 🐪 🐫
羊駝	羊駝 🦙
長頷鹿	長頷鹿 🦒
麒麟鹿	麒麟鹿 🦒
象	象 🐘
猛獁	猛獁 🦣
犀牛	犀牛 🦏
河馬	河馬 🦛
鳥鼠	鳥鼠 🐭 🐀
鳥鼠仔	鳥鼠仔 🐭 🐀
白鳥鼠	白鳥鼠 🐁
倉鼠	倉鼠 🐹
兔	兔 🐰
兔仔	兔仔 🐰 🐇
膨鼠	膨鼠 🐿
海狸	海狸 🦫
刺蝟	刺蝟 🦔
日婆	日婆 🦇
夜婆	夜婆 🦇
密婆	密婆 🦇
熊	熊 🐻
熊仔	熊仔 🐻
北極熊	北極熊 🐻‍❄️
無尾熊	無尾熊 🐨
熊貓	熊貓 🐼
貓熊	貓熊 🐼
panda	panda 🐼
樹懶	樹懶 🦥
海獺	海獺 🦦
臭鼬	臭鼬 🦨
袋鼠	袋鼠 🦘
獾	獾 🦡
跤跡	跤跡 🐾
火雞	火雞 🦃
雞	雞 🐔
雞公	雞公 🐓
雞母	雞母 🐔
雞囝	雞囝 🐣 🐤 🐥
孵雞仔	孵雞仔 🐣
鳥	鳥 🐦
鳥仔	鳥仔 🐦
徛鵝	徛鵝 🐧
粉鳥	粉鳥 🕊
老鷹	老鷹 🦅
鷹	鷹 🦅
鴨	鴨 🦆
鴨仔	鴨仔 🦆
天鵝	天鵝 🦢
貓頭鳥	貓頭鳥 🦉
羽毛	羽毛 🪶
火鶴	火鶴 🦩
孔雀	孔雀 🦚
鸚哥	鸚哥 🦜
翅仔	翅仔 🪽
烏鳥	烏鳥 🐦‍⬛
烏鴉	烏鴉 🐦‍⬛
鵝	鵝 🪿
田雞	田雞 🐸
四跤仔	四跤仔 🐸
鱷魚	鱷魚 🐊
龜	龜 🐢
蜥蜴	蜥蜴 🦎
杜定	杜定 🦎
蟮尪仔	蟮尪仔 🦎
蛇	蛇 🐍
龍	龍 🐲 🐉
恐龍	恐龍 🦕 🦖
